anio,diaSemana,codificacion_linea,codificacion_estacion,codificacion_mes,afluencia
2018,3,8,70,9,7744
2022,5,5,79,1,5484
2018,5,7,113,6,19439
2013,4,5,84,1,9860
2021,2,2,23,8,12407
2019,1,2,28,7,22461
2012,3,8,133,2,35678
2017,6,6,75,9,12744
2018,3,9,146,3,12874
2012,7,12,110,12,1194
2018,4,5,86,8,22719
2024,3,2,22,3,9097
2013,5,11,73,6,5215
2023,2,8,117,6,24827
2018,6,10,154,9,12676
2012,4,8,116,2,13754
2020,4,8,128,9,6800
2024,2,9,140,2,20229
2016,7,9,136,11,6519
2016,5,6,92,6,15190
2019,6,3,59,7,42393
2018,1,11,174,10,19155
2022,4,12,196,6,0
2023,4,9,136,8,7487
2016,2,3,58,1,23525
2020,4,6,100,4,3778
2013,7,9,143,7,12315
2019,1,9,8,3,23229
2017,3,3,66,2,21344
2016,1,8,119,3,4772
2015,4,6,98,12,5597
2018,1,2,24,3,30912
2023,3,11,162,4,16932
2024,2,3,49,7,17696
2012,6,3,65,3,14649
2014,1,3,67,6,23556
2018,1,3,66,8,20293
2021,4,12,187,10,0
2019,5,2,32,9,34749
2020,4,7,45,8,3552
2022,4,11,164,12,21193
2021,3,2,25,9,7308
2019,3,4,76,8,4653
2011,6,2,34,9,25564
2015,2,8,134,3,120904
2015,2,3,60,11,28030
2011,2,8,126,9,17880
2011,5,12,186,7,0
2013,1,1,16,1,51268
2017,6,8,117,5,17658
2018,6,11,172,6,7075
2020,2,10,153,1,20099
2017,5,5,83,2,8677
2022,4,3,7,8,33735
2011,7,1,16,7,34841
2015,6,12,194,7,3929
2010,7,8,131,3,12764
2020,4,5,85,11,3563
2013,6,1,15,5,23326
2017,3,7,93,3,46200
2024,1,8,133,1,26519
2014,3,9,141,9,37880
2016,5,12,186,3,15354
2023,7,3,42,7,7200
2015,1,6,53,2,2643
2015,7,6,97,1,1676
2021,6,8,116,9,5761
2018,1,12,198,9,24470
2010,2,8,124,11,14626
2017,7,12,190,9,0
2015,7,9,11,11,58649
2024,2,9,74,3,7381
2022,1,6,101,9,14836
2010,3,8,118,11,13194
2016,7,7,105,7,11809
2024,6,12,180,2,19796
2020,5,8,119,9,3452
2018,1,7,102,4,7428
2023,5,8,6,6,26856
2014,1,3,61,4,32568
2018,5,4,69,4,6743
2012,3,2,4,11,27851
2013,2,7,45,8,7500
2015,7,4,71,4,5184
2020,4,10,153,5,10961
2019,3,12,189,2,26348
2023,2,6,100,5,6880
2018,6,12,190,5,26131
2018,4,2,23,5,35697
2013,4,12,192,6,12654
2017,7,3,47,1,13547
2016,3,11,172,11,9839
2015,1,9,143,9,19575
2020,2,7,109,10,7833
2014,4,4,74,1,7104
2019,7,5,86,12,18708
2016,7,11,162,12,14558
2015,2,10,155,8,0
2020,4,7,102,6,0
2019,7,7,112,1,23667
2016,3,8,133,1,27312
2019,6,3,53,11,30699
2021,5,2,35,10,12576
2013,6,11,168,8,33466
2015,3,3,42,3,18295
2010,2,11,73,3,5150
2019,2,4,76,2,4382
2019,1,3,67,6,21241
2023,1,3,60,3,28679
2011,5,12,186,11,0
2022,3,3,66,2,11160
2023,2,2,4,10,25858
2011,2,2,33,6,30453
2019,1,2,37,5,14840
2016,5,12,198,3,5823
2011,4,7,112,5,28935
2011,3,11,177,12,7949
2023,6,11,84,11,7429
2015,2,3,50,8,135012
2011,4,5,80,3,6161
2016,3,3,49,12,33612
2015,4,12,188,10,0
2023,7,4,75,12,5262
2016,4,7,114,9,34358
2018,4,6,94,10,33828
2016,1,8,118,12,13393
2015,1,2,32,6,29224
2010,4,2,34,9,48760
2017,3,11,158,4,69015
2022,2,12,179,1,0
2019,1,6,97,7,7112
2011,4,11,173,6,14534
2022,2,7,107,8,10377
2016,2,8,129,10,16819
2020,3,8,131,4,6539
2021,1,2,43,1,0
2022,2,9,136,3,7933
2019,7,9,142,5,5522
2023,7,8,6,12,13935
2017,2,2,33,5,22090
2019,6,8,117,8,18545
2016,2,1,20,1,30635
2021,1,3,58,2,7014
2015,1,1,16,9,49060
2020,1,8,32,9,2424
2014,2,6,97,3,8181
2012,6,11,166,4,30427
2018,4,3,54,11,12881
2013,7,6,53,1,998
2021,5,6,93,7,9615
2016,6,6,53,1,1741
2021,5,3,50,1,25268
2023,6,11,173,10,16714
2010,2,5,87,9,4915
2019,7,8,134,11,57393
2010,7,2,36,3,93137
2013,6,11,168,8,37167
2016,4,3,66,5,22185
2024,5,2,37,3,12888
2011,3,9,142,11,7811
2013,5,11,174,5,17754
2024,4,8,117,1,29047
2021,7,1,2,11,9123
2023,6,9,11,6,47331
2017,6,12,190,3,23562
2019,3,3,50,8,116839
2016,7,9,137,6,17277
2011,4,3,61,7,36441
2022,7,7,113,2,3874
2022,5,8,130,2,17492
2010,1,12,190,3,0
2010,5,12,182,2,0
2011,2,3,67,3,32589
2020,7,12,191,7,14871
2014,4,9,143,1,23264
2018,1,9,32,9,11750
2017,2,10,152,4,11534
2020,7,8,118,1,10590
2012,4,3,61,3,36258
2019,1,8,134,3,104201
2020,1,11,162,8,8090
2014,6,2,27,5,27577
2015,3,4,74,10,8937
2017,3,1,16,4,45566
2020,7,11,165,6,4990
2022,6,2,44,6,62456
2020,6,10,11,4,10651
2012,1,8,131,10,23230
2014,7,3,65,3,8923
2014,2,2,23,2,40725
2024,2,1,16,5,20526
2018,7,1,16,9,47069
2018,3,1,5,3,32326
2024,3,11,20,2,16534
2011,4,5,82,3,9048
2020,5,3,63,12,22986
2018,3,3,63,4,37888
2018,3,11,172,5,10620
2024,4,4,77,4,3214
2018,6,10,155,6,23830
2021,7,3,52,10,4748
2014,6,5,85,8,3766
2020,5,11,84,2,12206
2015,2,1,13,9,37581
2019,7,7,8,8,6760
2011,3,8,32,10,4388
2012,4,5,61,7,12145
2015,6,12,198,2,9822
2018,4,4,76,4,4680
2016,4,5,89,3,36116
2023,7,12,187,5,0
2022,6,5,11,11,48270
2013,6,2,4,3,18174
2021,1,1,17,1,22069
2012,2,3,64,1,23907
2013,7,11,163,7,44451
2023,6,2,44,7,67609
2015,4,1,6,1,29691
2021,5,11,175,1,1199
2024,3,9,137,4,46751
2013,2,5,76,7,5272
2023,5,6,94,3,25502
2019,4,7,110,3,21241
2012,3,3,56,5,25527
2012,6,9,146,1,12281
2023,7,3,42,7,8072
2015,6,3,42,8,18826
2021,7,5,80,8,1267
2022,2,2,27,1,13562
2017,4,1,16,4,53324
2014,2,4,74,7,8834
2024,4,9,136,3,34510
2023,2,11,158,12,61223
2021,5,12,198,7,0
2022,7,2,26,11,12393
2011,7,3,50,8,71601
2016,6,4,15,10,10587
2022,6,5,87,4,3551
2019,6,5,11,11,72849
2014,2,11,172,7,7920
2020,6,6,85,11,1030
2011,7,1,16,10,44152
2023,1,11,175,7,3827
2011,4,9,140,8,18155
2014,3,10,11,7,122335
2011,2,3,67,8,27836
2015,4,10,151,11,35659
2023,4,12,190,12,54625
2016,3,10,11,10,143809
2016,2,7,102,3,6123
2011,5,5,82,5,9434
2023,2,11,73,8,4810
2012,4,5,84,9,10081
2016,4,6,85,9,4879
2019,7,10,148,2,9200
2020,7,11,172,9,2132
2015,4,3,63,9,37076
2021,4,6,100,9,3476
2023,2,11,161,11,19063
2021,5,1,5,2,16738
2020,3,6,97,7,4785
2020,5,7,107,9,7041
2013,5,12,194,3,8058
2018,5,9,74,12,15944
2010,3,8,6,10,20884
2022,2,1,11,5,20034
2015,1,1,5,4,46330
2014,3,6,98,2,10245
2013,5,9,142,8,6324
2015,7,2,30,6,11352
2021,7,5,76,8,3899
2016,6,6,100,4,6858
2020,2,2,33,9,12025
2022,4,10,154,8,12688
2015,7,8,32,9,2040
2020,3,12,181,12,11725
2016,1,10,151,10,40268
2013,6,6,75,2,23571
2020,7,1,4,8,14452
2018,7,2,43,2,8582
2021,5,4,76,1,1383
2020,1,11,177,1,6440
2010,6,9,58,3,7462
2022,6,11,84,8,8923
2020,5,4,71,5,0
2023,5,11,169,1,24062
2019,3,7,114,8,35682
2018,5,11,172,10,9105
2010,3,12,191,12,0
2011,3,3,62,5,26228
2022,2,5,86,11,15474
2010,4,4,74,9,9158
2016,5,3,59,4,91896
2021,5,12,190,7,0
2019,4,1,8,1,42769
2024,5,3,54,4,7874
2011,4,8,121,6,26252
2012,3,6,53,11,3672
2016,5,2,24,2,34529
2010,3,12,30,1,0
2022,1,11,166,8,15738
2019,5,9,32,7,11935
2016,5,9,146,7,10903
2013,7,11,73,3,4490
2023,7,11,166,3,14995
2024,2,2,29,6,16258
2013,7,8,118,6,11583
2021,6,12,183,10,0
2014,5,2,27,5,38882
2019,1,3,60,4,27385
2016,4,8,129,2,18319
2023,4,10,149,8,12450
2020,4,1,7,12,7821
2024,7,5,89,3,11315
2014,1,3,57,6,40981
2014,2,4,70,7,2215
2012,7,1,6,3,18892
2015,1,2,44,3,61216
2018,6,12,194,6,7758
2020,1,3,42,8,8392
2015,6,9,11,9,88149
2018,6,2,39,6,91047
2018,6,3,59,11,54460
2023,4,11,54,9,6241
2014,7,7,107,3,3979
2020,1,6,101,5,3849
2018,1,4,74,9,8776
2016,2,12,196,8,11962
2019,6,2,43,7,15861
2016,1,8,130,3,25969
2016,2,1,14,1,13982
2012,6,8,118,8,12464
2021,3,7,112,9,16169
2021,5,12,196,1,7261
2020,2,6,92,1,14081
2022,4,10,11,7,30872
2018,4,11,169,10,28783
2017,2,12,49,1,12349
2010,6,1,3,2,25694
2010,5,6,100,2,6852
2013,6,12,194,2,6800
2015,7,6,100,9,5209
2017,7,6,101,9,5806
2014,7,2,37,5,6938
2014,1,1,15,9,28299
2016,3,11,170,3,11
2015,2,5,89,8,40021
2019,6,10,155,2,32558
2019,6,7,113,1,12107
2017,7,6,97,1,1816
2021,5,2,43,1,7848
2019,6,12,191,12,43509
2022,6,6,101,4,9152
2014,2,3,65,1,23692
2011,6,8,134,3,81357
2020,3,2,31,6,6440
2023,1,8,131,6,16661
2022,1,1,8,5,14454
2011,3,2,37,7,15189
2024,5,9,8,2,71356
2012,5,11,20,5,16528
2011,5,12,110,1,0
2019,4,2,25,11,20949
2012,1,8,129,3,21287
2013,1,3,63,1,31858
2023,5,11,162,4,16515
2023,2,2,24,1,25601
2024,5,2,37,4,13067
2016,2,8,32,9,4432
2020,4,11,158,11,33961
2010,4,8,128,10,15736
2023,6,2,22,2,8585
2023,3,12,110,11,15275
2012,5,8,117,12,18967
2016,4,3,49,6,31499
2013,5,3,67,6,23151
2020,1,2,4,12,18562
2019,2,3,61,12,21143
2011,1,2,23,5,45276
2023,6,12,183,3,0
2018,6,6,100,3,9736
2016,7,1,7,7,10222
2023,7,12,181,2,0
2011,5,10,148,12,16561
2010,2,11,73,9,11308
2023,4,7,109,7,9354
2014,5,6,94,10,25226
2022,2,2,39,9,0
2011,1,2,33,10,30823
2022,3,7,45,4,8226
2024,5,12,129,1,11844
2020,3,1,12,1,23563
2012,7,6,93,1,12167
2024,3,7,104,1,37858
2013,5,4,68,2,7348
2016,6,11,158,8,57686
2010,5,8,121,3,26341
2016,2,6,93,3,21965
2013,2,3,53,5,50454
2023,4,5,86,3,18465
2017,2,11,175,5,7200
2012,7,2,22,2,5286
2015,5,5,86,8,18902
2017,5,12,189,9,0
2020,6,6,100,7,3515
2024,2,12,191,5,50709
2019,7,8,119,12,7231
2024,2,12,190,4,31091
2013,5,4,75,4,25986
2021,7,4,71,11,7789
2013,5,10,155,7,26611
2011,6,8,6,7,19588
2010,6,2,4,4,11884
2019,7,8,129,6,8936
2012,3,11,84,9,13665
2020,5,3,48,9,9969
2018,5,7,105,8,57501
2012,2,3,59,2,89390
2024,1,12,181,1,10254
2010,5,8,32,4,1487
2011,5,11,84,3,13345
2012,7,11,161,9,17496
2023,5,3,42,9,12275
2020,7,3,65,1,7953
2011,2,2,24,10,42803
2016,6,5,89,3,16170
2015,1,5,84,9,8479
2015,3,5,80,1,6193
2011,2,7,112,12,32396
2018,1,9,146,9,12910
2015,5,8,117,5,25118
2012,6,9,74,3,12228
2014,7,7,109,6,6061
2018,6,8,6,10,19224
2017,2,8,34,9,0
2010,3,1,5,2,48694
2018,1,4,71,7,7306
2013,1,3,57,3,46770
2019,4,3,63,5,32034
2014,5,2,24,8,22285
2023,1,11,161,10,17308
2010,2,10,156,12,22703
2023,3,1,19,12,0
2019,4,10,151,5,48995
2020,6,8,6,11,8803
2020,4,6,53,2,1599
2018,5,11,163,11,68321
2013,4,6,53,5,3343
2013,5,9,140,4,23186
2011,4,4,15,6,6498
2018,5,1,16,7,46780
2016,1,6,85,9,4056
2013,4,1,15,1,26122
2023,3,6,94,8,21129
2023,4,12,184,8,6170
2014,6,7,8,7,6527
2015,3,7,110,5,28027
2011,3,11,175,3,6934
2011,1,1,4,7,31838
2023,1,8,121,5,23262
2012,4,8,116,11,9875
2013,6,2,45,2,36535
2018,1,12,180,9,40381
2014,6,8,128,7,9279
2015,6,11,84,8,11177
2019,1,8,131,4,26002
2017,2,12,190,3,29553
2013,5,2,22,4,11627
2015,7,4,70,8,2571
2018,4,11,54,10,6548
2018,7,2,36,4,61513
2012,3,3,56,10,26833
2013,6,9,74,3,12725
2023,4,8,133,8,23017
2011,6,11,177,3,6620
2021,1,11,177,12,5350
2014,5,8,127,6,9905
2023,3,9,141,2,44858
2011,3,2,30,12,29157
2018,4,3,65,6,26624
2022,3,3,60,10,24416
2022,4,11,177,11,6424
2016,1,3,52,8,19277
2020,5,2,25,5,5165
2013,5,1,19,4,19830
2023,5,1,20,6,0
2019,7,10,149,3,9090
2011,4,5,76,9,6455
2017,3,3,64,1,27516
2023,5,11,173,8,12028
2022,7,12,181,3,0
2011,3,9,140,7,18111
2010,7,5,11,2,69127
2010,6,1,5,3,44294
2017,1,6,101,5,22284
2020,5,3,59,12,34605
2021,6,6,93,11,10446
2017,4,7,8,4,4988
2014,3,11,162,7,18924
2011,4,10,156,7,26244
2016,2,11,124,5,6487
2022,2,12,194,8,0
2021,3,8,134,9,67020
2011,6,5,80,4,4528
2011,2,1,18,8,19687
2014,2,8,127,8,10130
2021,7,2,29,8,7380
2015,1,8,70,4,7001
2021,4,6,101,12,7800
2011,6,4,73,6,7769
2024,3,8,131,6,20258
2010,1,8,126,10,16409
2018,1,4,76,8,4708
2023,5,8,128,3,13348
2019,7,4,70,1,1712
2021,5,3,52,12,11925
2022,6,11,168,3,24496
2011,7,12,30,2,0
2017,2,12,30,10,12048
2010,4,8,118,12,14304
2010,5,8,6,9,15760
2011,3,9,140,5,20304
2016,3,10,153,1,13664
2015,3,5,61,1,9818
2023,4,7,107,8,14208
2012,6,11,162,7,20141
2020,1,8,127,11,5507
2021,5,3,67,11,14381
2012,3,6,94,5,23165
2016,3,12,187,10,19713
2020,1,4,75,9,11448
2018,3,1,2,9,29559
2017,2,9,8,5,55646
2017,6,2,22,1,10310
2011,2,2,27,9,34933
2019,3,4,76,12,2218
2010,5,8,128,1,3609
2012,2,11,84,10,12303
2022,2,1,19,4,15270
2010,2,8,121,11,30243
2023,3,3,53,5,28069
2023,6,7,103,11,8306
2020,3,7,112,4,6881
2018,4,7,107,2,16044
2022,1,2,36,6,51543
2023,4,1,19,3,10242
2016,7,11,54,1,3699
2020,2,11,124,4,1863
2011,4,8,134,12,92339
2020,6,1,12,7,11277
2022,6,9,146,12,7931
2013,4,5,80,7,5714
2023,6,8,34,7,20554
2019,4,3,64,11,26834
2019,6,1,4,5,37445
2012,4,1,13,12,34499
2011,1,6,97,12,11788
2017,7,9,137,3,17120
2022,5,8,117,5,26031
2017,6,4,15,5,8769
2023,3,7,109,3,10008
2012,1,12,184,6,0
2011,4,3,67,12,32197
2013,5,12,184,3,10086
2010,6,12,191,3,0
2011,4,1,15,4,22291
2013,7,12,183,3,3748
2019,6,4,75,1,15608
2022,2,2,42,11,30909
2014,3,2,25,8,22216
2013,4,12,194,7,9858
2018,4,6,53,9,2253
2012,5,12,191,7,0
2020,2,2,4,12,12737
2020,6,7,45,7,3509
2021,4,3,66,12,10688
2018,7,11,170,10,15365
2011,3,6,75,11,32625
2024,2,12,129,1,11329
2014,1,6,92,2,14397
2022,7,3,56,3,4590
2023,4,5,82,5,7350
2020,5,12,110,12,7857
2018,3,1,20,5,31767
2019,7,9,142,5,4380
2018,3,5,78,11,20103
2010,3,2,37,4,5950
2018,7,12,191,9,26644
2023,7,10,150,12,11761
2014,4,3,67,2,25904
2012,5,5,79,6,9542
2024,3,10,156,3,18938
2023,2,8,32,3,4466
2020,1,2,34,2,36798
2015,1,8,124,12,18128
2011,4,4,69,2,7738
2019,5,2,42,2,28066
2023,4,5,76,5,4960
2019,1,4,70,10,2203
2011,1,4,75,4,31612
2018,2,8,123,6,13434
2018,7,8,118,9,5081
2013,1,12,129,1,8754
2011,6,8,70,10,7207
2014,4,3,60,6,30746
2016,5,1,12,4,29157
2012,5,11,162,9,24129
2022,2,8,134,2,83946
2023,5,2,25,7,12487
2023,7,3,56,3,4907
2018,4,5,82,4,8677
2014,6,2,30,4,18465
2016,4,8,118,2,14391
2023,2,1,13,8,19045
2022,3,12,190,2,0
2023,2,7,112,3,31309
2019,1,2,40,5,19590
2016,6,1,17,7,46091
2016,6,9,32,2,9958
2024,2,5,85,4,4922
2023,2,12,49,1,7022
2020,2,10,155,1,30809
2018,1,7,114,12,32791
2015,5,9,137,12,10079
2018,1,10,11,9,129270
2015,5,3,47,11,34367
2024,1,6,97,2,6672
2019,1,9,11,6,33025
2012,2,11,73,9,5476
2018,3,11,169,12,25295
2016,3,4,74,12,9737
2020,1,4,77,1,5417
2016,4,9,141,8,34267
2014,4,3,66,5,20869
2015,6,2,42,2,41942
2022,6,12,194,4,0
2012,7,8,129,2,10823
2012,2,9,32,4,12353
2017,6,2,39,2,96420
2021,5,9,140,8,12592
2015,1,1,8,8,29837
2013,1,2,35,4,23994
2020,3,4,68,12,6400
2016,3,7,110,6,26004
2016,2,12,182,12,14862
2019,7,8,34,11,20670
2020,2,1,15,8,27403
2023,2,1,15,10,0
2011,4,12,184,7,0
2018,6,5,85,5,5216
2015,2,3,57,8,47451
2016,4,4,76,7,4037
2012,1,3,57,5,47053
2020,1,11,170,12,12905
2012,3,1,17,4,43138
2022,7,2,30,10,7489
2018,5,2,22,6,15582
2018,2,7,108,9,15644
2024,3,11,73,6,3991
2012,2,2,37,2,16846
2022,3,11,73,4,3996
2019,4,3,66,2,20273
2013,7,2,38,6,16087
2012,4,10,153,4,18398
2013,7,8,119,12,5766
2020,6,1,6,8,11488
2022,2,3,47,8,25473
2010,2,8,6,3,18639
2020,4,1,17,1,33472
2021,7,10,150,10,6672
2010,3,11,167,4,26781
2011,3,8,133,12,38744
2023,2,3,42,3,14430
2014,3,9,137,5,48358
2021,2,10,150,10,12349
2019,7,3,50,3,70031
2012,4,3,56,8,24939
2022,3,11,20,9,22066
2023,5,7,45,5,8517
2012,6,11,168,1,37465
2023,7,1,11,1,0
2018,3,12,188,3,18095
2011,5,11,124,4,7834
2022,2,12,194,3,0
2021,1,2,43,12,9114
2011,6,6,85,5,2529
2019,4,2,27,3,30228
2011,7,3,61,5,21030
2022,2,4,74,12,8193
2023,7,12,192,4,2689
2010,7,7,114,11,6846
2010,4,12,198,1,0
2023,3,3,66,10,15975
2014,5,12,49,9,13641
2016,6,3,64,12,16692
2024,1,2,33,4,17669
2022,2,2,35,6,16402
2023,5,8,119,11,6821
2022,4,5,61,9,11000
2018,4,6,93,9,19226
2012,7,1,9,10,52003
2015,4,4,69,3,7266
2022,6,1,13,4,20866
2012,5,7,113,12,19820
2011,7,11,168,12,21352
2021,2,8,32,12,2971
2012,6,3,49,4,26676
2023,7,2,22,1,1713
2019,3,8,34,12,20284
2016,4,2,23,10,35973
2012,6,6,75,7,26675
2022,6,10,152,4,13756
2016,7,7,110,4,14542
2015,2,2,28,8,24340
2015,1,11,164,3,22576
2016,6,4,76,9,4499
2011,7,9,136,5,8079
2010,1,10,155,3,24942
2022,4,11,54,3,4965
2016,7,11,173,5,7292
2013,7,8,128,3,8922
2024,2,11,174,4,16605
2014,3,2,37,5,15127
2013,1,11,169,8,30119
2020,2,7,112,7,11779
2018,4,7,114,9,34212
2023,3,6,97,7,6983
2018,5,1,15,3,25618
2018,6,2,28,11,17285
2013,3,12,198,1,8491
2020,1,4,74,12,4467
2016,5,1,16,12,62223
2016,6,5,84,10,9064
2016,4,8,70,12,8325
2023,6,12,183,1,0
2015,6,4,75,7,20270
2016,4,3,54,5,12747
2019,5,11,167,1,21054
2018,7,12,181,2,8765
2018,7,11,175,4,7959
2015,4,5,87,8,4493
2023,6,2,42,12,36623
2015,5,1,1,3,63210
2014,4,10,155,7,30444
2022,3,1,3,11,0
2013,1,7,113,4,15653
2011,5,9,74,6,16125
2021,7,1,4,10,22816
2020,7,12,191,9,17518
2021,6,9,146,2,10096
2010,5,2,27,4,23219
2010,4,7,114,9,6699
2018,2,8,118,6,16402
2011,5,1,17,6,56412
2017,1,7,107,2,5401
2015,1,9,146,3,12041
2020,1,8,131,8,11139
2018,6,11,170,9,26383
2022,6,8,123,2,10679
2010,3,11,124,10,8827
2017,1,2,38,3,28424
2022,6,10,153,4,10605
2014,4,2,22,9,12991
2013,4,10,156,7,22191
2020,4,6,99,7,2626
2017,7,3,47,5,16095
2021,3,3,53,8,18903
2011,1,5,76,1,7610
2010,5,2,38,11,38891
2014,3,6,92,5,13158
2013,3,2,26,1,45627
2014,2,1,4,7,35186
2020,4,11,174,8,6242
2024,2,9,140,5,20669
2015,3,12,110,10,15512
2013,4,9,146,1,15750
2015,4,7,104,2,42013
2011,2,8,34,9,23055
2013,6,2,27,5,25845
2020,6,10,152,9,9278
2014,3,11,167,7,25139
2012,6,2,22,1,10803
2011,7,11,161,5,18219
2016,4,1,8,3,37169
2019,7,3,59,6,36163
2018,2,5,85,4,7524
2019,4,1,17,9,65114
2016,6,12,191,11,38976
2019,2,12,181,12,12206
2012,5,1,14,9,31811
2013,5,12,183,1,6252
2012,4,2,37,8,21951
2019,1,3,64,2,28967
2024,2,2,26,2,18050
2014,3,2,42,2,45385
2012,5,9,137,1,53701
2024,5,11,54,4,6932
2023,4,12,198,1,9587
2021,5,12,129,11,0
2015,2,10,151,3,33755
2020,6,8,128,8,4791
2017,3,4,71,1,8376
2019,4,2,44,4,59031
2016,5,8,129,12,17399
2020,1,3,59,9,30591
2023,5,9,143,2,26444
2024,1,1,13,6,0
2019,2,12,192,3,15551
2017,1,5,83,4,7709
2019,4,1,3,2,20246
2018,6,9,141,9,27564
2022,1,11,175,10,4401
2012,1,3,42,10,23381
2013,3,4,71,12,9611
2012,3,10,150,10,22435
2019,7,1,1,9,52401
2020,3,9,8,5,17631
2024,5,1,9,5,0
2018,3,6,97,9,8733
2020,6,8,6,11,7682
2011,1,7,114,1,34135
2018,6,6,100,10,8535
2016,4,2,28,4,23985
2017,4,7,108,3,19355
2012,1,1,9,8,79780
2019,3,4,68,5,8733
2012,5,3,67,7,27953
2019,7,3,7,8,1913
2018,4,2,23,8,29402
2024,4,12,49,6,14013
2023,6,3,67,4,15091
2011,3,8,34,4,18943
2023,6,5,86,5,16093
2023,4,2,40,6,22808
2015,3,10,152,9,18514
2023,7,4,75,8,7165
2015,2,5,11,6,110559
2022,6,7,45,8,5955
2022,4,11,73,9,4945
2020,5,2,25,1,22239
2021,4,12,179,8,0
2010,4,4,76,2,3817
2012,1,11,175,10,8569
2019,7,11,169,4,17068
2011,3,3,54,1,15456
2017,1,2,34,5,30419
2011,7,8,6,6,8304
2012,1,8,118,8,14790
2015,5,1,12,2,37027
2011,7,10,148,10,11788
2012,2,8,116,11,11608
2020,5,2,40,6,9785
2023,7,7,104,6,7537
2022,6,11,158,5,45891
2022,5,9,146,2,11100
2017,3,11,168,3,35678
2017,7,8,129,3,9265
2010,5,11,173,11,21138
2010,2,2,33,1,25930
2011,5,7,107,11,16683
2023,7,12,179,7,0
2023,3,6,101,5,19949
2017,6,2,33,5,19350
2011,5,12,182,7,0
2021,3,1,8,12,19978
2014,6,3,54,7,10294
2021,3,1,17,11,0
2010,1,3,63,12,28010
2022,4,11,173,1,7927
2013,4,11,169,7,28076
2020,4,12,49,3,16800
2018,3,10,151,9,46814
2016,5,8,129,1,16972
2016,7,5,11,11,53226
2017,1,11,166,1,22170
2024,6,3,65,2,9404
2013,1,3,56,12,21312
2018,6,6,53,12,1789
2015,7,1,11,7,29091
2020,5,3,7,3,11870
2023,6,3,62,6,13309
2011,2,2,33,8,30107
2011,5,10,148,8,21251
2023,4,3,47,7,22157
2013,7,3,58,7,12842
2014,3,1,4,1,11877
2021,1,1,13,11,21322
2014,1,5,61,6,8791
2021,4,6,75,11,20149
2017,6,9,143,1,14932
2020,7,1,17,11,15371
2011,3,9,146,10,16529
2011,1,2,44,6,119587
2013,2,3,58,3,26002
2020,6,4,74,8,4522
2023,4,3,67,3,17134
2011,1,11,165,9,27226
2021,4,2,40,9,12238
2023,6,7,113,9,9708
2023,4,6,93,6,16213
2022,4,9,143,11,29584
2020,7,3,47,12,8857
2016,3,3,50,5,130756
2011,7,1,10,12,49294
2022,3,1,17,2,45325
2016,3,1,14,1,16549
2015,5,2,38,10,36357
2021,2,3,65,8,11987
2024,7,5,79,6,3755
2019,5,11,172,12,8732
2020,4,1,2,2,29776
2013,2,3,54,5,14216
2020,2,2,43,6,5370
2015,4,1,3,1,27537
2022,2,1,10,8,27173
2018,4,2,42,5,30464
2015,6,2,43,10,14606
2018,3,12,186,11,15370
2014,3,2,45,5,42211
2019,1,12,49,7,14816
2021,1,7,102,1,2689
2020,3,6,53,5,443
2015,3,12,186,10,0
2019,1,11,124,12,7950
2014,4,7,113,1,21453
2020,1,9,136,10,4204
2011,5,2,4,2,27156
2013,1,3,50,6,146155
2011,1,2,33,7,33797
2023,4,2,45,4,30367
2011,1,4,75,3,31670
2013,5,11,168,5,36359
2018,7,3,58,10,12356
2019,2,5,84,6,10897
2019,7,3,52,2,18537
2014,4,3,59,3,95758
2019,2,8,34,4,15834
2017,3,3,63,10,44451
2020,6,10,152,5,6471
2012,3,2,37,2,15981
2015,7,4,77,11,3504
2015,1,1,9,6,92556
2018,1,3,60,2,20672
2019,7,11,173,3,24179
2017,2,1,3,1,21777
2023,5,5,11,6,62395
2023,1,11,73,7,4353
2020,4,9,137,8,25512
2022,4,1,11,3,30120
2023,2,2,27,11,21503
2010,2,9,142,9,8394
2019,1,3,65,6,24803
2019,7,1,2,9,12036
2012,1,6,100,1,11963
2010,2,11,177,11,8069
2011,5,11,162,12,21314
2011,3,3,7,3,10210
2014,3,2,22,9,14333
2011,1,2,31,7,32214
2019,6,7,108,2,14256
2018,1,11,54,6,6361
2015,2,12,182,11,10136
2018,1,1,4,10,25329
2016,4,11,73,11,4079
2024,4,2,34,5,26735
2012,1,6,94,3,8989
2011,5,7,103,12,14283
2020,1,12,186,6,6883
2014,7,1,7,1,7646
2020,1,3,50,6,53035
2018,3,9,143,6,18728
2014,7,11,169,2,16309
2020,1,7,93,8,17877
2015,1,4,77,3,6292
2016,2,5,78,8,23084
2017,3,10,152,4,17761
2016,7,10,148,8,7607
2016,7,11,173,1,5423
2024,5,3,57,1,31765
2023,7,9,136,2,4232
2020,7,6,53,1,969
2021,7,6,85,10,503
2017,4,5,79,3,9950
2017,1,3,60,5,21767
2020,7,9,74,8,4673
2013,3,12,180,4,24334
2019,6,7,45,11,7380
2022,2,10,149,5,8875
2012,7,2,45,4,15341
2019,6,1,3,6,22876
2010,7,12,184,11,0
2015,2,3,52,10,20061
2011,6,8,130,7,25392
2011,5,8,118,5,15756
2019,2,12,129,9,16753
2013,5,11,172,3,10867
2012,3,6,101,1,18498
2011,4,2,27,8,32649
2015,2,3,67,8,23055
2012,6,9,143,4,17720
2020,7,1,12,2,17008
