anio,diaSemana,codificacion_linea,codificacion_estacion,codificacion_mes,afluencia
2023,7,11,163,5,43601
2011,5,8,32,8,4405
2014,4,5,80,8,5988
2010,3,1,14,4,14696
2018,6,11,73,4,5134
2013,4,11,162,6,19997
2020,7,10,151,11,14005
2018,1,12,184,3,14162
2021,1,1,14,1,0
2011,1,2,32,7,35629
2012,7,12,182,1,0
2013,6,12,181,3,6335
2018,5,1,10,10,65048
2015,3,9,141,5,43145
2017,2,11,166,5,20420
2014,7,11,174,6,11221
2020,2,1,9,10,36955
2016,4,8,126,6,15788
2014,7,1,10,2,42418
2016,7,2,29,9,14106
2016,4,3,7,12,7020
2020,2,1,12,5,9605
2015,3,2,26,4,47110
2015,5,10,149,8,10790
2016,5,5,11,8,99875
2015,6,2,39,2,85373
2020,3,5,11,9,21809
2019,7,10,11,10,11084
2010,3,10,155,12,29886
2016,5,7,105,2,62100
2020,6,2,28,5,4714
2019,3,12,189,3,25854
2018,3,1,9,3,70957
2010,1,3,63,4,30494
2019,1,7,105,6,58377
2022,6,10,151,4,32671
2019,4,2,34,6,34544
2022,6,1,6,10,0
2023,1,11,73,11,4998
2011,7,2,43,12,14564
2023,6,10,155,10,20502
2022,1,2,26,9,25714
2012,3,12,49,5,0
2017,7,1,5,4,20618
2015,1,1,1,12,64393
2013,1,8,32,3,3673
2020,5,3,61,6,14140
2021,1,8,131,11,14415
2011,4,1,9,3,68200
2012,5,8,131,12,15650
2012,7,9,142,6,7790
2023,1,7,103,1,16408
2012,6,4,74,1,6468
2016,6,3,53,3,25008
2015,7,1,5,3,29695
2019,2,9,140,1,7945
2012,5,7,114,3,17141
2019,6,11,175,9,6418
2021,1,9,32,11,8044
2016,4,8,127,3,8375
2022,2,6,99,1,3829
2020,5,12,182,3,14511
2015,1,11,163,3,41352
2017,7,3,59,4,34521
2019,4,12,198,6,23371
2020,7,9,142,3,4158
2019,6,3,53,2,27220
2015,5,7,45,8,8889
2018,3,1,5,6,35569
2020,6,4,76,2,4403
2022,2,6,75,9,28995
2018,6,1,19,10,20079
2015,3,12,179,11,0
2024,3,9,32,6,7245
2022,3,10,150,1,8491
2016,5,11,84,6,12246
2016,4,12,110,10,20409
2024,3,1,17,4,0
2019,1,7,108,5,18637
2022,7,8,130,8,9483
2019,2,3,7,9,8131
2016,3,3,61,12,28366
2019,5,6,100,7,8078
2015,5,8,133,8,28853
2017,2,8,130,1,24249
2018,1,1,16,7,43407
2016,1,5,89,7,29712
2023,3,9,136,3,9317
2012,6,7,110,2,21474
2015,5,1,16,3,56427
2015,4,1,3,11,25313
2017,5,3,61,4,12612
2010,2,12,190,11,0
2018,2,12,198,5,23226
2016,3,3,60,2,27439
2020,5,2,31,7,9790
2015,6,8,116,2,7204
2021,7,4,74,1,2212
2015,3,4,73,11,8529
2011,3,11,165,2,24907
2013,7,2,38,7,25433
2022,1,3,63,10,32225
2018,2,2,35,9,23760
2011,2,1,7,4,18932
2024,4,12,187,3,20499
2013,1,12,179,4,2444
2021,7,1,18,1,0
2013,3,12,30,2,8373
2014,3,10,11,7,113585
2015,3,4,77,2,7675
2010,2,7,113,3,13144
2018,7,7,108,2,8921
2012,4,5,83,2,9248
2020,7,9,58,2,8180
2012,6,2,34,12,36859
2016,6,1,19,7,26759
2021,5,5,86,2,9750
2017,6,11,164,4,22860
2018,4,2,4,3,28036
2024,1,12,189,5,19617
2014,2,12,194,4,6683
2015,2,11,174,8,15974
2012,6,11,20,3,16347
2014,1,11,162,7,19124
2011,4,4,68,6,7549
2010,4,12,129,9,0
2011,7,10,148,7,10909
2013,2,2,25,6,17659
2014,7,8,127,5,7176
2020,4,4,68,6,0
2011,7,2,34,4,17677
2011,3,11,173,5,15366
2012,7,9,136,7,4730
2011,1,9,146,11,20662
2020,7,12,196,12,1700
2015,7,2,36,3,65740
2012,1,1,5,1,47868
2022,6,1,17,8,18166
2022,4,11,168,8,22981
2013,5,5,80,7,4343
2018,1,11,172,3,8947
2020,2,11,173,6,5344
2022,6,11,158,12,34687
2022,6,8,126,2,8637
2020,1,11,173,4,4371
2012,2,8,121,1,30502
2020,4,5,76,6,4676
2023,4,9,74,5,11014
2018,4,8,116,4,10352
2022,5,2,43,4,11857
2010,5,1,20,12,25070
2016,7,12,187,5,9933
2011,1,11,84,5,16586
2017,2,4,74,10,8721
2019,6,8,130,8,24556
2013,7,12,196,4,4566
2020,6,11,163,6,20030
2017,3,2,24,2,33348
2015,6,5,83,8,6865
2024,6,8,32,3,2321
2019,3,1,15,4,25086
2022,4,8,129,6,16244
2019,4,3,64,6,28862
2022,1,6,101,12,16188
2017,6,3,56,5,16389
2011,4,7,108,6,17257
2015,6,3,53,5,32089
2018,5,8,117,7,23003
2016,1,5,84,10,11066
2011,5,11,124,5,8668
2011,7,12,182,6,0
2020,1,5,83,10,4073
2023,6,12,191,7,0
2013,3,11,169,8,31209
2022,2,12,110,4,0
2023,2,11,54,5,6122
2015,4,1,1,3,61157
2022,2,3,67,8,14734
2022,5,2,4,7,32994
2015,6,2,27,5,24392
2022,4,11,170,1,16391
2023,3,11,158,8,48536
2021,1,9,58,10,11113
2023,5,11,177,3,7020
2021,1,12,30,8,0
2014,1,2,37,8,13838
2022,3,6,75,6,25861
2012,5,1,14,10,30988
2016,2,2,39,3,28535
2015,6,12,129,3,34765
2022,7,4,74,4,2991
2010,6,5,83,1,6263
2012,7,7,114,7,6542
2016,4,1,16,2,48167
2011,4,12,189,11,0
2016,4,6,98,8,9822
2014,2,7,45,7,7159
2012,5,6,98,3,6126
2019,3,1,18,7,15410
2011,6,2,34,8,26144
2020,5,5,78,2,22067
2023,5,8,133,11,27196
2018,6,9,143,9,16795
2018,6,2,4,2,24238
2016,1,2,45,9,45513
2010,5,8,124,2,24349
2014,1,3,56,2,7405
2018,7,1,15,9,25871
2012,2,8,119,9,9853
2010,1,3,61,12,39558
2015,3,11,175,12,6173
2016,2,10,152,2,12286
2020,5,8,128,1,7345
2020,1,6,53,2,1822
2019,4,7,8,5,8081
2018,5,3,64,10,30020
2019,3,12,187,5,24835
2024,5,9,136,5,57526
2021,3,9,146,1,6348
2021,4,8,126,8,10420
2023,1,1,13,8,14767
2010,1,12,184,11,0
2019,7,3,56,12,7659
2012,6,12,110,9,0
2020,7,1,20,2,28580
2023,2,4,15,4,15576
2020,2,12,179,1,4100
2016,1,11,162,9,19429
2021,5,11,20,1,13069
2012,3,10,154,7,10151
2016,6,5,86,7,13798
2016,1,8,127,9,10207
2011,3,9,137,10,49064
2012,3,12,192,9,0
2014,1,3,57,4,26248
2019,7,10,151,8,22327
2012,5,12,179,10,0
2011,7,5,89,10,21467
2012,3,6,92,11,13726
2023,6,2,38,12,25328
2012,1,11,164,7,25178
2013,6,2,37,7,11971
2019,3,8,70,2,7827
2022,5,1,6,2,18739
2014,4,10,149,3,14825
2024,6,3,48,3,5050
2013,6,10,11,6,65252
2022,7,11,162,5,8502
2013,7,11,174,3,12193
2023,4,11,163,3,38701
2016,4,9,137,5,56380
2022,5,9,146,2,12284
2017,2,8,32,5,3877
2010,2,2,30,2,23942
2014,3,1,3,4,28294
2023,2,12,180,8,26618
2018,5,1,16,9,53149
2020,7,11,168,11,9005
2014,2,8,126,7,15831
2019,5,12,184,2,15792
2024,5,7,107,5,12824
2013,2,8,128,1,14139
2019,2,5,79,9,9618
2011,6,8,131,12,21621
2012,2,12,183,5,0
2015,2,7,105,2,39774
2024,1,9,137,4,38175
2023,7,11,73,10,3975
2019,3,8,117,10,26435
2021,5,10,11,8,26814
2021,7,3,47,7,6590
2023,7,1,11,11,11076
2020,2,9,11,2,56731
2012,7,8,127,12,10698
